region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08435_Bodenseekreis,2.175468683242798,HSf3,year,hot_spell_frequency,,7
08436_Ravensburg,1.6962343454360962,HSf3,year,hot_spell_frequency,,7
08437_Sigmaringen,1.598211407661438,HSf3,year,hot_spell_frequency,,7
09161_09176_09185_09186_Region_um_Ingolstadt,2.584928274154663,HSf3,year,hot_spell_frequency,,7
09161_Ingolstadt,2.744697332382202,HSf3,year,hot_spell_frequency,,7
09162_09184_09179_09174_Region_um_München,2.3765950202941895,HSf3,year,hot_spell_frequency,,7
09162_München,2.548835515975952,HSf3,year,hot_spell_frequency,,7
09163_09187_Region_um_Rosenheim,1.9850952625274658,HSf3,year,hot_spell_frequency,,7
09163_Rosenheim,2.4713034629821777,HSf3,year,hot_spell_frequency,,7
09171_Altötting,2.6618175506591797,HSf3,year,hot_spell_frequency,,7
09172_Berchtesgadener Land,0.9366739392280579,HSf3,year,hot_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,1.0319139957427979,HSf3,year,hot_spell_frequency,,7
09174_Dachau,2.5756821632385254,HSf3,year,hot_spell_frequency,,7
09175_Ebersberg,2.158459424972534,HSf3,year,hot_spell_frequency,,7
09176_Eichstätt,2.389691114425659,HSf3,year,hot_spell_frequency,,7
09177_Erding,2.5870602130889893,HSf3,year,hot_spell_frequency,,7
09178_Freising,2.680500030517578,HSf3,year,hot_spell_frequency,,7
09179_Fürstenfeldbruck,2.3605661392211914,HSf3,year,hot_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.6347486972808838,HSf3,year,hot_spell_frequency,,7
09181_Landsberg am Lech,1.828558325767517,HSf3,year,hot_spell_frequency,,7
09182_Miesbach,0.8761345744132996,HSf3,year,hot_spell_frequency,,7
09183_Mühldorf a. Inn,2.604893445968628,HSf3,year,hot_spell_frequency,,7
09184_München,2.1264326572418213,HSf3,year,hot_spell_frequency,,7
09185_Neuburg-Schrobenhausen,2.729524850845337,HSf3,year,hot_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,2.7285070419311523,HSf3,year,hot_spell_frequency,,7
09187_Rosenheim,1.9716157913208008,HSf3,year,hot_spell_frequency,,7
09188_Starnberg,1.6569173336029053,HSf3,year,hot_spell_frequency,,7
09189_Traunstein,1.6163666248321533,HSf3,year,hot_spell_frequency,,7
09190_Weilheim-Schongau,1.286320686340332,HSf3,year,hot_spell_frequency,,7
09261_09274_Region_um_Landshut,2.6653270721435547,HSf3,year,hot_spell_frequency,,7
09261_Landshut,2.6393892765045166,HSf3,year,hot_spell_frequency,,7
