region,ci_name,ci_frequency,standard_name,units,mid_month,HSf3_year_2C_rcp85_ensemble-robustness
08435_Bodenseekreis,HSf3,year,hot_spell_frequency,,7,2
08436_Ravensburg,HSf3,year,hot_spell_frequency,,7,2
08437_Sigmaringen,HSf3,year,hot_spell_frequency,,7,2
09161_09176_09185_09186_Region_um_Ingolstadt,HSf3,year,hot_spell_frequency,,7,2
09161_Ingolstadt,HSf3,year,hot_spell_frequency,,7,2
09162_09184_09179_09174_Region_um_München,HSf3,year,hot_spell_frequency,,7,2
09162_München,HSf3,year,hot_spell_frequency,,7,2
09163_09187_Region_um_Rosenheim,HSf3,year,hot_spell_frequency,,7,2
09163_Rosenheim,HSf3,year,hot_spell_frequency,,7,2
09171_Altötting,HSf3,year,hot_spell_frequency,,7,2
09172_Berchtesgadener Land,HSf3,year,hot_spell_frequency,,7,2
09173_Bad Tölz-Wolfratshausen,HSf3,year,hot_spell_frequency,,7,2
09174_Dachau,HSf3,year,hot_spell_frequency,,7,2
09175_Ebersberg,HSf3,year,hot_spell_frequency,,7,2
09176_Eichstätt,HSf3,year,hot_spell_frequency,,7,2
09177_Erding,HSf3,year,hot_spell_frequency,,7,2
09178_Freising,HSf3,year,hot_spell_frequency,,7,2
09179_Fürstenfeldbruck,HSf3,year,hot_spell_frequency,,7,2
09180_Garmisch-Partenkirchen,HSf3,year,hot_spell_frequency,,7,2
09181_Landsberg am Lech,HSf3,year,hot_spell_frequency,,7,2
09182_Miesbach,HSf3,year,hot_spell_frequency,,7,2
09183_Mühldorf a. Inn,HSf3,year,hot_spell_frequency,,7,2
09184_München,HSf3,year,hot_spell_frequency,,7,2
09185_Neuburg-Schrobenhausen,HSf3,year,hot_spell_frequency,,7,2
09186_Pfaffenhofen a.d. Ilm,HSf3,year,hot_spell_frequency,,7,2
09187_Rosenheim,HSf3,year,hot_spell_frequency,,7,2
09188_Starnberg,HSf3,year,hot_spell_frequency,,7,2
09189_Traunstein,HSf3,year,hot_spell_frequency,,7,2
09190_Weilheim-Schongau,HSf3,year,hot_spell_frequency,,7,2
09261_09274_Region_um_Landshut,HSf3,year,hot_spell_frequency,,7,2
09261_Landshut,HSf3,year,hot_spell_frequency,,7,2
09262_09275_Region_um_Passau,HSf3,year,hot_spell_frequency,,7,2
09262_Passau,HSf3,year,hot_spell_frequency,,7,2
09263_09278_Region_um_Straubing,HSf3,year,hot_spell_frequency,,7,2
09263_Straubing,HSf3,year,hot_spell_frequency,,7,2
09271_Deggendorf,HSf3,year,hot_spell_frequency,,7,2
09272_Freyung-Grafenau,HSf3,year,hot_spell_frequency,,7,2
09273_Kelheim,HSf3,year,hot_spell_frequency,,7,2
09274_Landshut,HSf3,year,hot_spell_frequency,,7,2
09275_Passau,HSf3,year,hot_spell_frequency,,7,2
09276_Regen,HSf3,year,hot_spell_frequency,,7,2
09277_Rottal-Inn,HSf3,year,hot_spell_frequency,,7,2
09278_Straubing-Bogen,HSf3,year,hot_spell_frequency,,7,2
09279_Dingolfing-Landau,HSf3,year,hot_spell_frequency,,7,2
09361_09371_Region_um_Amberg,HSf3,year,hot_spell_frequency,,7,2
09361_Amberg,HSf3,year,hot_spell_frequency,,7,2
09362_09375_Region_um_Regensburg,HSf3,year,hot_spell_frequency,,7,2
