region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09479_Wunsiedel i. Fichtelgebirge,12.188919067382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,12.683380126953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,10.71722412109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,12.213912963867188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,12.08038330078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,12.096969604492188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,12.220458984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,10.351303100585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,12.314727783203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,9.547576904296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,12.284927368164062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09576_Roth,11.179443359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,11.01202392578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09661_Aschaffenburg,12.497451782226562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09662_Schweinfurt,9.017303466796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
