region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
08135_Heidenheim,0.3683473,DSx5,year,dry_spell_duration,days,7
08136_Ostalbkreis,0.20922564,DSx5,year,dry_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,0.30588207,DSx5,year,dry_spell_duration,days,7
08211_Baden-Baden,0.366222,DSx5,year,dry_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,0.13868064,DSx5,year,dry_spell_duration,days,7
08212_Karlsruhe,0.17666258,DSx5,year,dry_spell_duration,days,7
08215_Karlsruhe,0.13500647,DSx5,year,dry_spell_duration,days,7
08216_Rastatt,0.29460263,DSx5,year,dry_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,0.21929665,DSx5,year,dry_spell_duration,days,7
08221_Heidelberg,0.2324585,DSx5,year,dry_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.23172128,DSx5,year,dry_spell_duration,days,7
08222_Mannheim,0.25668055,DSx5,year,dry_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,0.19021629,DSx5,year,dry_spell_duration,days,7
08226_Rhein-Neckar-Kreis,0.21269746,DSx5,year,dry_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,0.23168276,DSx5,year,dry_spell_duration,days,7
08231_Pforzheim,0.24009441,DSx5,year,dry_spell_duration,days,7
08235_Calw,0.26690477,DSx5,year,dry_spell_duration,days,7
08236_Enzkreis,0.18115544,DSx5,year,dry_spell_duration,days,7
08237_Freudenstadt,0.4015295,DSx5,year,dry_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.38296148,DSx5,year,dry_spell_duration,days,7
08311_Freiburg im Breisgau,0.36754426,DSx5,year,dry_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,0.3654749,DSx5,year,dry_spell_duration,days,7
08316_Emmendingen,0.42257226,DSx5,year,dry_spell_duration,days,7
08317_Ortenaukreis,0.40139776,DSx5,year,dry_spell_duration,days,7
08325_Rottweil,0.3205897,DSx5,year,dry_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,0.3371503,DSx5,year,dry_spell_duration,days,7
08327_Tuttlingen,0.2732608,DSx5,year,dry_spell_duration,days,7
08335_Konstanz,0.17564784,DSx5,year,dry_spell_duration,days,7
08336_Lörrach,0.42674544,DSx5,year,dry_spell_duration,days,7
08337_Waldshut,0.43999127,DSx5,year,dry_spell_duration,days,7
08415_Reutlingen,0.1969526,DSx5,year,dry_spell_duration,days,7
08416_Tübingen,0.216653,DSx5,year,dry_spell_duration,days,7
08417_Zollernalbkreis,0.25705558,DSx5,year,dry_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,0.15915246,DSx5,year,dry_spell_duration,days,7
08421_Ulm,0.13969062,DSx5,year,dry_spell_duration,days,7
08425_Alb-Donau-Kreis,0.20674682,DSx5,year,dry_spell_duration,days,7
08426_Biberach,-0.031836495,DSx5,year,dry_spell_duration,days,7
08435_Bodenseekreis,-0.002554358,DSx5,year,dry_spell_duration,days,7
08436_Ravensburg,-0.040383976,DSx5,year,dry_spell_duration,days,7
08437_Sigmaringen,0.12485574,DSx5,year,dry_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.013700586,DSx5,year,dry_spell_duration,days,7
09161_Ingolstadt,0.08450379,DSx5,year,dry_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,-0.13807864,DSx5,year,dry_spell_duration,days,7
09162_München,-0.16906707,DSx5,year,dry_spell_duration,days,7
09163_09187_Region_um_Rosenheim,-0.14405008,DSx5,year,dry_spell_duration,days,7
09163_Rosenheim,-0.20998202,DSx5,year,dry_spell_duration,days,7
09171_Altötting,-0.11846589,DSx5,year,dry_spell_duration,days,7
09172_Berchtesgadener Land,-0.118740514,DSx5,year,dry_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,-0.15854937,DSx5,year,dry_spell_duration,days,7
09174_Dachau,-0.10073439,DSx5,year,dry_spell_duration,days,7
09175_Ebersberg,-0.09261483,DSx5,year,dry_spell_duration,days,7
09176_Eichstätt,0.044408564,DSx5,year,dry_spell_duration,days,7
09177_Erding,-0.11886366,DSx5,year,dry_spell_duration,days,7
09178_Freising,-0.13593945,DSx5,year,dry_spell_duration,days,7
