region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09161_09176_09185_09186_Region_um_Ingolstadt,8.065004348754883,DSx5,year,dry_spell_duration,days,7
09161_Ingolstadt,7.69635009765625,DSx5,year,dry_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,6.399724960327148,DSx5,year,dry_spell_duration,days,7
09162_München,6.062614440917969,DSx5,year,dry_spell_duration,days,7
09163_09187_Region_um_Rosenheim,6.056515693664551,DSx5,year,dry_spell_duration,days,7
09163_Rosenheim,5.66313362121582,DSx5,year,dry_spell_duration,days,7
09171_Altötting,6.509237289428711,DSx5,year,dry_spell_duration,days,7
09172_Berchtesgadener Land,5.3449249267578125,DSx5,year,dry_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,6.017913818359375,DSx5,year,dry_spell_duration,days,7
09174_Dachau,6.640142440795898,DSx5,year,dry_spell_duration,days,7
09175_Ebersberg,6.648454666137695,DSx5,year,dry_spell_duration,days,7
09176_Eichstätt,8.34268569946289,DSx5,year,dry_spell_duration,days,7
09177_Erding,5.832881927490234,DSx5,year,dry_spell_duration,days,7
09178_Freising,5.925165176391602,DSx5,year,dry_spell_duration,days,7
09179_Fürstenfeldbruck,6.574392318725586,DSx5,year,dry_spell_duration,days,7
09180_Garmisch-Partenkirchen,4.903995513916016,DSx5,year,dry_spell_duration,days,7
09181_Landsberg am Lech,5.839092254638672,DSx5,year,dry_spell_duration,days,7
09182_Miesbach,5.525167465209961,DSx5,year,dry_spell_duration,days,7
09183_Mühldorf a. Inn,5.867439270019531,DSx5,year,dry_spell_duration,days,7
09184_München,6.236562728881836,DSx5,year,dry_spell_duration,days,7
09185_Neuburg-Schrobenhausen,8.10304069519043,DSx5,year,dry_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,7.6536407470703125,DSx5,year,dry_spell_duration,days,7
09187_Rosenheim,6.0674238204956055,DSx5,year,dry_spell_duration,days,7
09188_Starnberg,5.867835998535156,DSx5,year,dry_spell_duration,days,7
09189_Traunstein,5.933098793029785,DSx5,year,dry_spell_duration,days,7
09190_Weilheim-Schongau,6.242290496826172,DSx5,year,dry_spell_duration,days,7
09261_09274_Region_um_Landshut,7.028230667114258,DSx5,year,dry_spell_duration,days,7
09261_Landshut,8.541580200195312,DSx5,year,dry_spell_duration,days,7
09262_09275_Region_um_Passau,7.863773345947266,DSx5,year,dry_spell_duration,days,7
09262_Passau,7.330198287963867,DSx5,year,dry_spell_duration,days,7
09263_09278_Region_um_Straubing,6.171964645385742,DSx5,year,dry_spell_duration,days,7
09263_Straubing,7.662990570068359,DSx5,year,dry_spell_duration,days,7
09271_Deggendorf,5.899059295654297,DSx5,year,dry_spell_duration,days,7
