region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09184_München,-5.744972229003906,FD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-4.080425262451172,FD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-3.9890670776367188,FD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-6.521522521972656,FD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-6.179679870605469,FD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-6.86883544921875,FD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-6.535423278808594,FD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-3.9253082275390625,FD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-6.695423126220703,FD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-5.191688537597656,FD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-6.415946960449219,FD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-6.8943939208984375,FD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-3.523487091064453,FD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-3.9297866821289062,FD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-5.857723236083984,FD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-7.029472351074219,FD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-3.1817779541015625,FD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-5.5762176513671875,FD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-3.0703582763671875,FD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-4.4532928466796875,FD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-3.6157989501953125,FD,year,days_with_air_temperature_below_threshold,days,7
