region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_4C_rcp85_ensemble-robustness
08125_Heilbronn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08126_Hohenlohekreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08127_Schwäbisch Hall,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08128_Main-Tauber-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08135_Heidenheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08136_Ostalbkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08211_08216_Region_um_Baden-Baden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08211_Baden-Baden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08212_08215_07334_Region_um_Karlsruhe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08212_Karlsruhe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08215_Karlsruhe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08216_Rastatt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08221_08226_08222_Region_um_Heidelberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08221_Heidelberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08222_Mannheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08225_Neckar-Odenwald-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08226_Rhein-Neckar-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08231_08236_08235_Region_um_Pforzheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08231_Pforzheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08235_Calw,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08236_Enzkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08237_Freudenstadt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08311_08316_08315_Region_um_Freiburg_im_Breisgau,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08311_Freiburg im Breisgau,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08315_Breisgau-Hochschwarzwald,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08316_Emmendingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08317_Ortenaukreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08325_Rottweil,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08326_Schwarzwald-Baar-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08327_Tuttlingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08335_Konstanz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08336_Lörrach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08337_Waldshut,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08415_Reutlingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08416_Tübingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08417_Zollernalbkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08421_08425_09775_Region_um_Ulm,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08421_Ulm,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08425_Alb-Donau-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08426_Biberach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08435_Bodenseekreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
08436_Ravensburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
