region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09375_Regensburg,-8.248053550720215,LFD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-8.032848358154297,LFD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-8.753866195678711,LFD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-7.859403610229492,LFD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-7.8874053955078125,LFD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-7.8052520751953125,LFD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-8.543756484985352,LFD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-7.679134368896484,LFD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-8.153972625732422,LFD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-7.79083251953125,LFD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-7.678995132446289,LFD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-8.635810852050781,LFD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-8.037092208862305,LFD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-8.020475387573242,LFD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-7.860748291015625,LFD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-8.908933639526367,LFD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-8.326078414916992,LFD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-7.552803039550781,LFD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-6.976387023925781,LFD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-6.217669486999512,LFD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-6.806168556213379,LFD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-8.224039077758789,LFD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-7.633159637451172,LFD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-7.906436920166016,LFD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-7.489534378051758,LFD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-8.055952072143555,LFD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-7.738811492919922,LFD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-8.279359817504883,LFD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-4.915392875671387,LFD,year,days_with_air_temperature_below_threshold,days,7
