region,ci_name,ci_frequency,standard_name,units,mid_month,DSf_year_1.5C_rcp85_ensemble-robustness
16061_Eichsfeld,DSf,year,dry_spell_frequency,,7,
16062_Nordhausen,DSf,year,dry_spell_frequency,,7,
16063_Wartburgkreis,DSf,year,dry_spell_frequency,,7,1.0
16064_Unstrut-Hainich-Kreis,DSf,year,dry_spell_frequency,,7,
16065_Kyffhäuserkreis,DSf,year,dry_spell_frequency,,7,
16066_Schmalkalden-Meiningen,DSf,year,dry_spell_frequency,,7,1.0
16067_Gotha,DSf,year,dry_spell_frequency,,7,
16068_Sömmerda,DSf,year,dry_spell_frequency,,7,
16069_Hildburghausen,DSf,year,dry_spell_frequency,,7,1.0
16070_Ilm-Kreis,DSf,year,dry_spell_frequency,,7,
16071_Weimarer Land,DSf,year,dry_spell_frequency,,7,
16072_Sonneberg,DSf,year,dry_spell_frequency,,7,1.0
16073_Saalfeld-Rudolstadt,DSf,year,dry_spell_frequency,,7,
16074_Saale-Holzland-Kreis,DSf,year,dry_spell_frequency,,7,
16075_Saale-Orla-Kreis,DSf,year,dry_spell_frequency,,7,
16076_Greiz,DSf,year,dry_spell_frequency,,7,
16077_Altenburger Land,DSf,year,dry_spell_frequency,,7,
01001_01059_Region_um_Flensburg,DSf,year,dry_spell_frequency,,7,
01002_01057_01058_Region_um_Kiel,DSf,year,dry_spell_frequency,,7,
01003_13074_01055_01053_01062_Region_um_Lübeck,DSf,year,dry_spell_frequency,,7,
01004_01058_01060_01057_01002_Region_um_Neumünster,DSf,year,dry_spell_frequency,,7,
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,DSf,year,dry_spell_frequency,,7,
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,DSf,year,dry_spell_frequency,,7,
03103_03154_03151_Region_um_Wolfsburg,DSf,year,dry_spell_frequency,,7,
03401_03458_04011_03251_03461_Region_um_Delmenhorst,DSf,year,dry_spell_frequency,,7,
03402_03452_03457_Region_um_Emden,DSf,year,dry_spell_frequency,,7,
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),DSf,year,dry_spell_frequency,,7,
03404_03459_05566_Region_um_Osnabrück,DSf,year,dry_spell_frequency,,7,
03405_03455_Region_um_Wilhelmshaven,DSf,year,dry_spell_frequency,,7,
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,DSf,year,dry_spell_frequency,,7,
04012_03352_03461_Region_um_Bremerhaven,DSf,year,dry_spell_frequency,,7,
05111_05162_05158_05112_Region_um_Düsseldorf,DSf,year,dry_spell_frequency,,7,1.0
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,DSf,year,dry_spell_frequency,,7,1.0
