region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08121_08125_Region_um_Heilbronn,0.039015769958496094,HSx3,year,hot_spell_duration,days,7
08121_Heilbronn,-0.3587162494659424,HSx3,year,hot_spell_duration,days,7
08125_Heilbronn,0.07785224914550781,HSx3,year,hot_spell_duration,days,7
08126_Hohenlohekreis,0.1624164879322052,HSx3,year,hot_spell_duration,days,7
08127_Schwäbisch Hall,0.15995562076568604,HSx3,year,hot_spell_duration,days,7
08128_Main-Tauber-Kreis,0.1272449791431427,HSx3,year,hot_spell_duration,days,7
08135_Heidenheim,0.030313365161418915,HSx3,year,hot_spell_duration,days,7
08136_Ostalbkreis,0.07476341724395752,HSx3,year,hot_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,0.14588722586631775,HSx3,year,hot_spell_duration,days,7
08211_Baden-Baden,0.06096071004867554,HSx3,year,hot_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,0.12311553955078125,HSx3,year,hot_spell_duration,days,7
08212_Karlsruhe,0.06652688980102539,HSx3,year,hot_spell_duration,days,7
08215_Karlsruhe,0.1276845932006836,HSx3,year,hot_spell_duration,days,7
08216_Rastatt,0.1508565992116928,HSx3,year,hot_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,0.0931863784790039,HSx3,year,hot_spell_duration,days,7
08221_Heidelberg,0.08128589391708374,HSx3,year,hot_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.08399319648742676,HSx3,year,hot_spell_duration,days,7
08222_Mannheim,0.0936894416809082,HSx3,year,hot_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,0.12781848013401031,HSx3,year,hot_spell_duration,days,7
08226_Rhein-Neckar-Kreis,0.09349203109741211,HSx3,year,hot_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,0.09246713668107986,HSx3,year,hot_spell_duration,days,7
08231_Pforzheim,0.17269350588321686,HSx3,year,hot_spell_duration,days,7
08235_Calw,-0.04548780620098114,HSx3,year,hot_spell_duration,days,7
08236_Enzkreis,0.18755997717380524,HSx3,year,hot_spell_duration,days,7
08237_Freudenstadt,-0.12599337100982666,HSx3,year,hot_spell_duration,days,7
