region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08127_Schwäbisch Hall,1.6027297973632812,HSx3,year,hot_spell_duration,days,7
08128_Main-Tauber-Kreis,1.5705530643463135,HSx3,year,hot_spell_duration,days,7
08135_Heidenheim,1.3292951583862305,HSx3,year,hot_spell_duration,days,7
08136_Ostalbkreis,1.239022135734558,HSx3,year,hot_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,1.3480360507965088,HSx3,year,hot_spell_duration,days,7
08211_Baden-Baden,1.3552701473236084,HSx3,year,hot_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,1.8135998249053955,HSx3,year,hot_spell_duration,days,7
08212_Karlsruhe,2.049884796142578,HSx3,year,hot_spell_duration,days,7
08215_Karlsruhe,1.769482135772705,HSx3,year,hot_spell_duration,days,7
08216_Rastatt,1.329194188117981,HSx3,year,hot_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,1.9080371856689453,HSx3,year,hot_spell_duration,days,7
08221_Heidelberg,1.8695943355560303,HSx3,year,hot_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,1.8640921115875244,HSx3,year,hot_spell_duration,days,7
08222_Mannheim,2.429062843322754,HSx3,year,hot_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,1.599362850189209,HSx3,year,hot_spell_duration,days,7
08226_Rhein-Neckar-Kreis,1.861816644668579,HSx3,year,hot_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,1.416422724723816,HSx3,year,hot_spell_duration,days,7
08231_Pforzheim,1.594354271888733,HSx3,year,hot_spell_duration,days,7
08235_Calw,1.0001637935638428,HSx3,year,hot_spell_duration,days,7
08236_Enzkreis,1.5514960289001465,HSx3,year,hot_spell_duration,days,7
08237_Freudenstadt,0.9476437568664551,HSx3,year,hot_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,1.0786644220352173,HSx3,year,hot_spell_duration,days,7
08311_Freiburg im Breisgau,1.305214524269104,HSx3,year,hot_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,0.8670606017112732,HSx3,year,hot_spell_duration,days,7
08316_Emmendingen,1.397108554840088,HSx3,year,hot_spell_duration,days,7
08317_Ortenaukreis,1.6373894214630127,HSx3,year,hot_spell_duration,days,7
08325_Rottweil,0.9355435967445374,HSx3,year,hot_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,0.6007183194160461,HSx3,year,hot_spell_duration,days,7
08327_Tuttlingen,0.8069965839385986,HSx3,year,hot_spell_duration,days,7
08335_Konstanz,1.586700201034546,HSx3,year,hot_spell_duration,days,7
08336_Lörrach,1.2720470428466797,HSx3,year,hot_spell_duration,days,7
08337_Waldshut,1.2665939331054688,HSx3,year,hot_spell_duration,days,7
08415_Reutlingen,0.8571780920028687,HSx3,year,hot_spell_duration,days,7
08416_Tübingen,1.487398386001587,HSx3,year,hot_spell_duration,days,7
08417_Zollernalbkreis,0.8401401042938232,HSx3,year,hot_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,1.2701678276062012,HSx3,year,hot_spell_duration,days,7
08421_Ulm,1.47898530960083,HSx3,year,hot_spell_duration,days,7
08425_Alb-Donau-Kreis,1.1803669929504395,HSx3,year,hot_spell_duration,days,7
08426_Biberach,1.2919949293136597,HSx3,year,hot_spell_duration,days,7
08435_Bodenseekreis,1.0575069189071655,HSx3,year,hot_spell_duration,days,7
08436_Ravensburg,1.2444250583648682,HSx3,year,hot_spell_duration,days,7
08437_Sigmaringen,0.9856758713722229,HSx3,year,hot_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,1.8001899719238281,HSx3,year,hot_spell_duration,days,7
09161_Ingolstadt,2.0262985229492188,HSx3,year,hot_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,1.5628421306610107,HSx3,year,hot_spell_duration,days,7
09162_München,1.665937900543213,HSx3,year,hot_spell_duration,days,7
09163_09187_Region_um_Rosenheim,1.4280226230621338,HSx3,year,hot_spell_duration,days,7
09163_Rosenheim,1.7359603643417358,HSx3,year,hot_spell_duration,days,7
09171_Altötting,1.8318889141082764,HSx3,year,hot_spell_duration,days,7
09172_Berchtesgadener Land,0.5626007318496704,HSx3,year,hot_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,0.48363596200942993,HSx3,year,hot_spell_duration,days,7
09174_Dachau,1.8230053186416626,HSx3,year,hot_spell_duration,days,7
09175_Ebersberg,1.5932669639587402,HSx3,year,hot_spell_duration,days,7
09176_Eichstätt,1.7009732723236084,HSx3,year,hot_spell_duration,days,7
09177_Erding,1.804473638534546,HSx3,year,hot_spell_duration,days,7
09178_Freising,1.907444715499878,HSx3,year,hot_spell_duration,days,7
09179_Fürstenfeldbruck,1.398634433746338,HSx3,year,hot_spell_duration,days,7
09180_Garmisch-Partenkirchen,0.2063947170972824,HSx3,year,hot_spell_duration,days,7
09181_Landsberg am Lech,1.0115939378738403,HSx3,year,hot_spell_duration,days,7
09182_Miesbach,0.4253193140029907,HSx3,year,hot_spell_duration,days,7
09183_Mühldorf a. Inn,1.7661175727844238,HSx3,year,hot_spell_duration,days,7
09184_München,1.4316964149475098,HSx3,year,hot_spell_duration,days,7
09185_Neuburg-Schrobenhausen,1.7979896068572998,HSx3,year,hot_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,1.8702510595321655,HSx3,year,hot_spell_duration,days,7
09187_Rosenheim,1.4189871549606323,HSx3,year,hot_spell_duration,days,7
09188_Starnberg,0.9810336232185364,HSx3,year,hot_spell_duration,days,7
09189_Traunstein,1.0615143775939941,HSx3,year,hot_spell_duration,days,7
09190_Weilheim-Schongau,0.8241912126541138,HSx3,year,hot_spell_duration,days,7
09261_09274_Region_um_Landshut,1.833479404449463,HSx3,year,hot_spell_duration,days,7
