region,ci_name,ci_frequency,standard_name,units,mid_month,HSx3_year_2C_rcp85_ensemble-robustness
09372_Cham,HSx3,year,hot_spell_duration,days,7,2
09373_Neumarkt i.d. OPf.,HSx3,year,hot_spell_duration,days,7,2
09374_Neustadt a.d. Waldnaab,HSx3,year,hot_spell_duration,days,7,2
09375_Regensburg,HSx3,year,hot_spell_duration,days,7,2
09376_Schwandorf,HSx3,year,hot_spell_duration,days,7,2
09377_Tirschenreuth,HSx3,year,hot_spell_duration,days,7,2
09461_09471_Region_um_Bamberg,HSx3,year,hot_spell_duration,days,7,2
09461_Bamberg,HSx3,year,hot_spell_duration,days,7,2
09462_09472_Region_um_Bayreuth,HSx3,year,hot_spell_duration,days,7,2
09462_Bayreuth,HSx3,year,hot_spell_duration,days,7,2
09463_09473_Region_um_Coburg,HSx3,year,hot_spell_duration,days,7,2
09463_Coburg,HSx3,year,hot_spell_duration,days,7,2
09464_09475_Region_um_Hof,HSx3,year,hot_spell_duration,days,7,1
09464_Hof,HSx3,year,hot_spell_duration,days,7,1
09471_Bamberg,HSx3,year,hot_spell_duration,days,7,2
09472_Bayreuth,HSx3,year,hot_spell_duration,days,7,2
09473_Coburg,HSx3,year,hot_spell_duration,days,7,2
09474_Forchheim,HSx3,year,hot_spell_duration,days,7,2
09475_Hof,HSx3,year,hot_spell_duration,days,7,1
09476_Kronach,HSx3,year,hot_spell_duration,days,7,2
09477_Kulmbach,HSx3,year,hot_spell_duration,days,7,2
09478_Lichtenfels,HSx3,year,hot_spell_duration,days,7,1
09479_Wunsiedel i. Fichtelgebirge,HSx3,year,hot_spell_duration,days,7,2
09561_09571_Region_um_Ansbach,HSx3,year,hot_spell_duration,days,7,2
09561_Ansbach,HSx3,year,hot_spell_duration,days,7,2
09562_09572_09564_09563_Region_um_Erlangen,HSx3,year,hot_spell_duration,days,7,2
09562_Erlangen,HSx3,year,hot_spell_duration,days,7,2
09563_09573_09562_09564_Region_um_Fürth,HSx3,year,hot_spell_duration,days,7,2
09563_Fürth,HSx3,year,hot_spell_duration,days,7,2
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,HSx3,year,hot_spell_duration,days,7,2
09564_Nürnberg,HSx3,year,hot_spell_duration,days,7,2
09565_09576_09564_Region_um_Schwabach,HSx3,year,hot_spell_duration,days,7,2
09565_Schwabach,HSx3,year,hot_spell_duration,days,7,2
09571_Ansbach,HSx3,year,hot_spell_duration,days,7,2
09572_Erlangen-Höchstadt,HSx3,year,hot_spell_duration,days,7,2
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,HSx3,year,hot_spell_duration,days,7,2
09573_Fürth,HSx3,year,hot_spell_duration,days,7,2
09574_Nürnberger Land,HSx3,year,hot_spell_duration,days,7,2
09575_Neustadt a.d. Aisch-Bad Windsheim,HSx3,year,hot_spell_duration,days,7,2
09576_Roth,HSx3,year,hot_spell_duration,days,7,2
