region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08226_Rhein-Neckar-Kreis,0.1842409372329712,HSx3,year,hot_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,0.08645570278167725,HSx3,year,hot_spell_duration,days,7
08231_Pforzheim,0.10711658000946045,HSx3,year,hot_spell_duration,days,7
08235_Calw,-0.06460711359977722,HSx3,year,hot_spell_duration,days,7
08236_Enzkreis,0.1414046287536621,HSx3,year,hot_spell_duration,days,7
08237_Freudenstadt,-0.08991667628288269,HSx3,year,hot_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,-0.0930032730102539,HSx3,year,hot_spell_duration,days,7
08311_Freiburg im Breisgau,-0.16954278945922852,HSx3,year,hot_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,-0.1498660445213318,HSx3,year,hot_spell_duration,days,7
08316_Emmendingen,0.042142510414123535,HSx3,year,hot_spell_duration,days,7
08317_Ortenaukreis,0.13375139236450195,HSx3,year,hot_spell_duration,days,7
08325_Rottweil,0.007349073886871338,HSx3,year,hot_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,-0.20279008150100708,HSx3,year,hot_spell_duration,days,7
08327_Tuttlingen,-0.2698514759540558,HSx3,year,hot_spell_duration,days,7
08335_Konstanz,-0.10659980773925781,HSx3,year,hot_spell_duration,days,7
08336_Lörrach,-0.2179807424545288,HSx3,year,hot_spell_duration,days,7
08337_Waldshut,-0.19389086961746216,HSx3,year,hot_spell_duration,days,7
08415_Reutlingen,-0.13412520289421082,HSx3,year,hot_spell_duration,days,7
08416_Tübingen,0.048452913761138916,HSx3,year,hot_spell_duration,days,7
08417_Zollernalbkreis,-0.0886664092540741,HSx3,year,hot_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,-0.041627705097198486,HSx3,year,hot_spell_duration,days,7
08421_Ulm,-0.02927757240831852,HSx3,year,hot_spell_duration,days,7
08425_Alb-Donau-Kreis,-0.07336217164993286,HSx3,year,hot_spell_duration,days,7
08426_Biberach,-0.09182041883468628,HSx3,year,hot_spell_duration,days,7
08435_Bodenseekreis,-0.1054045557975769,HSx3,year,hot_spell_duration,days,7
08436_Ravensburg,-0.24440011382102966,HSx3,year,hot_spell_duration,days,7
08437_Sigmaringen,-0.2571346163749695,HSx3,year,hot_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.0007954018656164408,HSx3,year,hot_spell_duration,days,7
09161_Ingolstadt,-0.002094268798828125,HSx3,year,hot_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,0.022096190601587296,HSx3,year,hot_spell_duration,days,7
09162_München,0.010929364711046219,HSx3,year,hot_spell_duration,days,7
09163_09187_Region_um_Rosenheim,0.007311694324016571,HSx3,year,hot_spell_duration,days,7
09163_Rosenheim,-0.05135911703109741,HSx3,year,hot_spell_duration,days,7
09171_Altötting,0.06977201253175735,HSx3,year,hot_spell_duration,days,7
09172_Berchtesgadener Land,-0.006970214191824198,HSx3,year,hot_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,-0.008993741124868393,HSx3,year,hot_spell_duration,days,7
09174_Dachau,0.04038664326071739,HSx3,year,hot_spell_duration,days,7
09175_Ebersberg,0.08219078183174133,HSx3,year,hot_spell_duration,days,7
09176_Eichstätt,0.0,HSx3,year,hot_spell_duration,days,7
09177_Erding,0.09361982345581055,HSx3,year,hot_spell_duration,days,7
09178_Freising,0.07538279891014099,HSx3,year,hot_spell_duration,days,7
09179_Fürstenfeldbruck,-0.007818183861672878,HSx3,year,hot_spell_duration,days,7
09180_Garmisch-Partenkirchen,-0.056562408804893494,HSx3,year,hot_spell_duration,days,7
09181_Landsberg am Lech,-0.024369804188609123,HSx3,year,hot_spell_duration,days,7
09182_Miesbach,-0.02629503607749939,HSx3,year,hot_spell_duration,days,7
09183_Mühldorf a. Inn,0.07901787757873535,HSx3,year,hot_spell_duration,days,7
09184_München,0.003018900752067566,HSx3,year,hot_spell_duration,days,7
09185_Neuburg-Schrobenhausen,0.0,HSx3,year,hot_spell_duration,days,7
