region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08237_Freudenstadt,0.08027803897857666,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08311_Freiburg im Breisgau,-0.021521329879760742,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08315_Breisgau-Hochschwarzwald,-0.0062787532806396484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08316_Emmendingen,0.016353368759155273,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08317_Ortenaukreis,-0.009052753448486328,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08325_Rottweil,0.046109676361083984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-0.0931471586227417,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08327_Tuttlingen,-0.18102943897247314,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08335_Konstanz,0.1840439736843109,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08336_Lörrach,-0.0015053749084472656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08337_Waldshut,-0.05002713203430176,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08415_Reutlingen,-0.03651082515716553,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08416_Tübingen,0.251791775226593,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08417_Zollernalbkreis,0.03813660144805908,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08421_Ulm,0.043030738830566406,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08425_Alb-Donau-Kreis,-0.11591482162475586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08426_Biberach,0.15760135650634766,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08435_Bodenseekreis,0.11885763704776764,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08436_Ravensburg,0.1425827443599701,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08437_Sigmaringen,-0.12157714366912842,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09161_Ingolstadt,0.32607460021972656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09162_München,0.2976718544960022,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09163_Rosenheim,0.05209784209728241,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09171_Altötting,0.12106853723526001,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09172_Berchtesgadener Land,0.016017407178878784,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-0.03369598090648651,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09174_Dachau,0.2796768248081207,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09175_Ebersberg,0.03407159447669983,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09176_Eichstätt,0.18371166288852692,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09177_Erding,0.2874579429626465,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09178_Freising,0.3143823742866516,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09179_Fürstenfeldbruck,0.18692168593406677,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09180_Garmisch-Partenkirchen,-0.037953443825244904,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09181_Landsberg am Lech,-0.014680445194244385,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
