region,DD_sem_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09163_Rosenheim,-1.2103801,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09171_Altötting,-0.9086534,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09172_Berchtesgadener Land,-0.048980925,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09173_Bad Tölz-Wolfratshausen,-0.45209333,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09174_Dachau,-1.0134226,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09175_Ebersberg,-0.860839,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09176_Eichstätt,-0.9527396,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09177_Erding,-0.9412278,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09178_Freising,-0.9656303,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09179_Fürstenfeldbruck,-1.0614679,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09180_Garmisch-Partenkirchen,-0.5807307,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09181_Landsberg am Lech,-1.0194572,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09182_Miesbach,-0.3110608,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09183_Mühldorf a. Inn,-0.89443845,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09184_München,-0.77293766,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09185_Neuburg-Schrobenhausen,-1.1778035,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09186_Pfaffenhofen a.d. Ilm,-1.0516868,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09187_Rosenheim,-0.6786074,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09188_Starnberg,-0.9332218,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09189_Traunstein,-0.28450966,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09190_Weilheim-Schongau,-0.8765061,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09261_Landshut,-1.1170288,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09262_Passau,-0.4272572,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09263_Straubing,-1.143533,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09271_Deggendorf,-0.6424085,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09272_Freyung-Grafenau,-0.23402303,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09273_Kelheim,-1.0776265,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09274_Landshut,-1.0862951,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09275_Passau,-0.5532243,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09276_Regen,-0.12685807,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09277_Rottal-Inn,-0.9112911,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09278_Straubing-Bogen,-0.967153,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09279_Dingolfing-Landau,-1.218827,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09361_Amberg,-0.93425536,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09362_Regensburg,-1.5343394,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09363_Weiden i.d. OPf.,-0.3996565,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09371_Amberg-Sulzbach,-0.7027961,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09372_Cham,-0.44048765,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09373_Neumarkt i.d. OPf.,-0.55295223,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09374_Neustadt a.d. Waldnaab,-0.32349247,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09375_Regensburg,-1.2053554,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09376_Schwandorf,-0.8156574,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09377_Tirschenreuth,-0.21760242,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09461_Bamberg,-0.53321576,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09462_Bayreuth,-0.11327478,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09463_Coburg,-0.39618057,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09464_Hof,-0.7568733,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09471_Bamberg,-0.29068005,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09472_Bayreuth,0.092302166,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09473_Coburg,-0.29865927,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09474_Forchheim,-0.06126918,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09475_Hof,-0.10749091,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09476_Kronach,0.28866994,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09477_Kulmbach,-0.020816114,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09478_Lichtenfels,-0.13815457,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09479_Wunsiedel i. Fichtelgebirge,-0.34586033,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09561_Ansbach,-0.7768436,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09562_Erlangen,-0.74659306,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09563_Fürth,-0.92311466,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09564_Nürnberg,-0.806457,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09565_Schwabach,-0.92613316,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09571_Ansbach,-0.70329964,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09572_Erlangen-Höchstadt,-0.67968094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09573_Fürth,-1.0006752,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09574_Nürnberger Land,-0.13045365,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09575_Neustadt a.d. Aisch-Bad Windsheim,-0.76209575,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09576_Roth,-0.84485954,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09577_Weißenburg-Gunzenhausen,-0.75775295,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09661_Aschaffenburg,-0.8015434,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09662_Schweinfurt,-0.6926899,DD,sem,days_with_precipitation_amount_below_threshold,days,1
